country,total_area_sq_km,land_area_sq_km,water_area_sq_km,land_boundaries_km,coastline_km,elevation_mean_m,agricultural_land_percent,forest_land_percent,total_dependency_ratio,youth_dependency_ratio,elderly_dependency_ratio,median_age,population_growth_rate,birth_rate,death_rate,net_migration_rate,urban_population,rate_urbanization,sex_ratio,maternal_mortality_ratio,infant_mortality_rate,life_expectancy,fertility_rate,contraceptive_prevalence,health_expenditure,physician_density,education_expenditure,particulate_emisions,methane_emissions,urban_population_percent,urbanization_rate,real_gdp,real_gdp_growth_rate,real_gdp_per_capita,gdp,unemployment_rate,population_below_poverty_line
RS,17098242,16376870,722683,22400,37653,414,.11,.494,63.2,26.57,45.2,39.6,-0.2,1.50,14.5,0.748,74.75,86.8,11.2,5.18,73.08,1.50,-1.0,6,50.4,4,-1.0,-1.0,74.75,.74,1400000000,-3.0,10126.72,1483000000,5.73
TI,144100.0,141510.0,2590.0,4130.0,0.0,3186.0,34.7,2.9,67.9,62.6,5.3,25.3,1.4,20.73,5.72,-1.03,28.0,2.73,0.99,17.0,32.33,69.36,2.45,29.3,7.1,2.1,5.7,40.05,4.87,28.0,2.73,34880000000.0,-1.0,3700.0,2522000000.0,-1.0,26.3
Serbia,17098242.0,16377742.0,720500.0,22407.0,37653.0,600.0,13.1,49.4,51.2,27.8,23.5,40.3,-0.22,9.45,13.36,1.7,75.1,0.11,0.86,17.0,6.42,72.44,1.6,68.0,5.7,3.75,4.7,13.75,851.52,75.1,0.11,3875690000000.0,1.34,26500.0,1702361000000.0,4.6,12.6
Kazakhstan,2724900.0,2699700.0,25200.0,13364.0,0.0,387.0,77.4,1.2,58.8,46.3,12.6,31.6,0.77,15.38,8.11,0.39,58.0,1.19,0.9,10.0,19.18,72.53,2.11,53.0,2.8,3.98,2.9,11.32,45.03,58.0,1.19,475180000000.0,6.13,25300.0,181194000000.0,4.8,4.3
Uzbekistan,447400.0,425400.0,22000.0,6893.0,0.0,-1.0,62.6,7.7,50.6,43.4,7.2,30.1,0.83,15.53,5.41,-1.78,50.5,1.25,0.99,29.0,18.98,75.29,1.73,-1.0,5.6,2.37,5.1,25.29,96.16,50.5,1.25,239420000000.0,-1.0,7000.0,57789000000.0,-1.0,14.1
TX,488100.0,469930.0,18170.0,4158.0,0.0,230.0,72.0,8.8,55.2,47.8,7.4,29.2,0.99,17.51,5.95,-1.71,53.5,2.23,0.98,7.0,37.62,71.83,2.03,49.7,6.6,2.23,3.1,19.02,52.09,53.5,2.23,-1.0,-1.0,-1.0,40819000000.0,-1.0,0.2
Kyrgyzstan,199951.0,191801.0,8150.0,4573.0,0.0,2988.0,55.4,5.1,59.7,52.1,7.5,27.3,0.86,19.54,6.12,-4.87,37.5,2.05,0.96,60.0,25.66,72.35,2.5,39.4,4.5,2.21,5.4,18.12,4.47,37.5,2.05,31020000000.0,-1.0,4700.0,8442000000.0,3.18,20.1
Croatia,56594.0,55974.0,620.0,2237.0,5835.0,331.0,23.7,34.4,55.7,22.6,33.1,43.9,-0.47,8.65,12.88,-0.5,58.2,0.05,1.01,8.0,8.74,77.22,1.45,-1.0,7.0,3.0,3.9,17.03,3.98,58.2,0.05,107110000000.0,2.94,26500.0,60687000000.0,8.07,18.3
EN,45228.0,42388.0,2840.0,657.0,3794.0,61.0,22.2,52.1,58.4,26.1,32.3,43.7,-0.71,8.75,13.1,-2.79,69.6,-0.03,0.89,9.0,3.42,77.88,1.61,-1.0,6.7,4.48,5.2,6.74,0.99,69.6,-0.03,47440000000.0,5.0,35600.0,31461000000.0,4.94,21.7
Romania,238391.0,229891.0,8500.0,2844.0,225.0,414.0,60.7,28.7,53.3,23.8,29.5,42.5,-1.09,8.76,15.26,-4.36,54.5,-0.15,0.94,19.0,5.84,75.75,1.63,-1.0,5.7,2.98,3.3,14.29,27.62,54.5,-0.15,556070000000.0,4.2,28800.0,249543000000.0,3.06,23.8
